O.S;"
Status";Código;Descrição;Código;Descrição;Código;Descrição;"
Origem";"
Objeto";Código;Descrição;"
Modelo";Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;"Tempo de
Permanência(h)";Descrição da O.S
151830432;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101512;John Deere CH670 2L Colhe;1191;11;Colhedora;;;12/02/2024 07:30;12/03/2024 17:00;10/04/2024 17:30;0;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL (CUBO) JD - ACIONAMENTO  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-NORMAL  -  MAPA-SIM  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO 
151830434;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;117588;John Deere CH570 1L Colhe;1219;11;Colhedora;;;12/02/2024 07:30;12/03/2024 17:30;22/04/2024 15:30;0;SETOR-HIDRÁULICA  -  MODELO-MOTOR HIDRAULICO  DE RODA  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SEM 
151830437;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101530;John Deere CH670 2L Colhe;1191;11;Colhedora;;;12/02/2024 07:30;12/03/2024 17:30;28/05/2024 11:30;2.548,00;SETOR-HIDRÁULICA  -  MODELO-BOMBA HIDRAULICA TRANSM. EIXO FINO  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  - 
151830441;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101530;John Deere CH670 2L Colhe;1191;11;Colhedora;;;12/02/2024 07:30;12/03/2024 17:30;18/04/2024 15:00;0;SETOR-HIDRÁULICA  -  MODELO-BOMBA HIDRAULICA TRANSM. EIXO GROSSO  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  
151830445;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101501;John Deere CH670 2L Colhe;1191;11;Colhedora;;;12/02/2024 07:30;12/03/2024 17:30;23/04/2024 17:30;0;SETOR-HIDRÁULICA  -  MODELO-MOTOR HIDRAULICO CORTE DE BASE  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS
151830463;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101512;John Deere CH670 2L Colhe;1191;11;Colhedora;;;12/02/2024 07:30;12/03/2024 17:30;22/04/2024 17:30;0;SETOR-HIDRÁULICA  -  MODELO-MOTOR HIDRAULICO CORTE DE BASE  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS
151830669;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101524;John Deere CH670 2L Colhe;1191;11;Colhedora;;;01/02/2024 07:30;01/02/2024 17:30;16/05/2024 17:30;2.530,00;SETOR-TRANSMISSÃO  -  MODELO-CAIXA CORTE BASE JD 2 LINHAS 3522/CH  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-RESERVA CRR  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃ
151830671;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;72122;John Deere CH670 2L Colhe;1191;11;Colhedora;;;05/02/2024 06:00;05/03/2024 17:30;13/06/2024 15:40;3.105,67;SETOR-TRANSMISSÃO  -  MODELO-CAIXA CORTE BASE JD 2 LINHAS 3522/CH  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-RESERVA CRR  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃ
151830672;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101530;John Deere CH670 2L Colhe;1191;11;Colhedora;;;07/02/2024 07:30;07/03/2024 17:30;19/06/2024 12:00;3.196,50;SETOR-TRANSMISSÃO  -  MODELO-CAIXA CORTE BASE JD 2 LINHAS 3522/CH  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-RESERVA CRR  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃ
151833691;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;117588;John Deere CH570 1L Colhe;1219;11;Colhedora;;;01/03/2024 09:11;01/04/2024 07:30;04/05/2024 11:30;1.538,31;SETOR-HIDRÁULICA  -  MODELO-MOTOR HIDRAULICO  DE RODA  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SEM 
